Week,machine learning,big data,data science
2016-08-14,53,79,39
2016-08-21,58,86,46
2016-08-28,60,90,47
2016-09-04,57,88,45
2016-09-11,63,94,47
2016-09-18,67,96,49
2016-09-25,68,99,49
2016-10-02,67,93,46
2016-10-09,64,89,45
2016-10-16,68,95,45
2016-10-23,69,92,43
2016-10-30,66,91,46
2016-11-06,64,90,40
2016-11-13,71,97,46
2016-11-20,68,90,40
2016-11-27,71,93,46
