metrics,model,unaware_model,pre_prossesing_1,pre_prossesing_2,pre_prossesing_3,post-prossesing best demographic parity,post-processing best equalize opportunities,post-processing best equalized odds
accuracy,0.8570675453047776,0.857001647446458,0.8568698517298188,0.8539703459637562,0.8337397034596375,0.8177265238879736,0.839011532125206,0.8436243822075783
precision,0.7960304054054054,0.7942041159176817,0.8029449978345604,0.7838290741516548,0.8398184176394293,0.5941961151415867,0.629536058796509,0.9102739726027397
recall,0.5278633436012321,0.529543545225427,0.5191823018762252,0.5239428731447774,0.36264351722206667,0.7110053206384767,0.7675721086530384,0.3721646597591711
f1_score,0.6347870011786495,0.6354166666666666,0.6306122448979592,0.6280631084256462,0.5065519264619598,0.6473737888832227,0.6917350157728707,0.528324388789505
demographic_metric,0.14042565196964646,0.14083509775399172,0.1469309992884843,0.14172670589983277,0.06796831087293989,0.00878767699253713,0.18892370611675924,0.07395324438649384
equalized_opportunities,0.0675633391710449,0.06747869235259779,0.10309223584354926,0.07331990659661408,0.027245183887915914,0.22100583771161708,0.0035779334500875004,0.0010548744892002748
equalized_odds,0.11654546098611737,0.11673066263107748,0.1553324749249892,0.12445200079917698,0.02757558705672122,0.30075806679604833,0.09173215905804319,0.00879002166439024
